Question;Answer;AnswerPl;Type;Qualification;IsActive
Why does the app need state management?;Let's assume a situation where the username is written in the header of the page. There is a page for editing the username in the application. What will happen when we change the username? If header only gets the username from the database on initialization then the username will stay the same until we reload the page, which is not the correct solution. We can also create a website that gets updated data from the editing page and sends it to the header, but very quickly it ends up with a lot of hard-to-maintain code. The most practical will be to use a single data source, which means keeping the data about the user in the application state after authentication and sending the data from the state to both the head and the edit page, updating the state after editing. In Angular, NgRx is used for this, a great advantage of which is also the ability to display the current state of the application in the browser.;Załóżmy sytuację, w której w headerze na stronie mamy napisaną nazwę użytkownika. W aplikacji znajduje się strona do edycji nazwy użytkownika. Co się stasnie jak zmienimy nazwę użytkownika? Jeżeli header pozyskuje nazwę użytkownika z bazy danych tylko przy inicjalizacji, wtedy nazwa użytkownika zostnaie taka sama do czasu, aż nie przeładujemy strony, co nie jest poprawnym rozwiązaniem. Możemy też stworzyć serwis, który dostaje zaktualizowane dane ze strony edycji i wysyła je do headera, jednak bardzo szybko kończy się to dużą ilością ciężkiego w utrzymaniu kodu. Najbardziej praktyczne będzie użycie pojedyńczego źródła danych, co oznacza trzymanie danych o użytkoniku w stanie aplikacji po autentykacji i wysłanie danych ze stanu zarówno do headera jak i strony edycji, po edycji aktualizując stan. W Angularze stosuje się do teog NgRx, którego bardzo dużym plusem jest też możliwość wyświetlenia aktualnego stanu aplikacji w przeglądarce.;Angular;;false
Explain stack vs heap.;The stack holds function calls, local variables, and simple values. As the program runs functions, they are stacked in a LIFO queue. Each thread has its own stack. The stack has a predetermined size. The heap does not have a predetermined size, the size is dynamically allocated. Used to hold the values ​​of reference types because they are too large to hold on the stack.;Stos przetrzymuje wywołania funkcji, zmienne lokalne oraz wartości proste. Jak program uruchamia funkcje są one nakładane na stos w kolejkę LIFO. Każdy wątek ma swój stos. Stos ma określony z góry rozmiar. Sterta nie posiada określonego z góry rozmiaru, rozmiar jest dynamicznie alokowany. Służy do przetrzymywania wartości typów referencyjnych, ponieważ są one zbyt duże, żeby trzymać je na stosie.;OOP;;false
What is Subject?;Subject is a special type of observabli which is both an observable and observator, ie we can both specify it as a function of a subscription (observator) and subscribe to it.;Subject jest specjalnym typem observabli, która jest zarówno observable jak i observatorem, tzn. możemy zarówno podać go jako funkcja subskrypcji (observator), jak i zasubkrybować do niego.;Angular;;true
What is PWA? (Progressive Web Application);PWA is a type of the web application that uses service worker for cache management of the application. It's great way to improve performance because application is being loaded almost instantly from the memory and in the background service worker checks if newer version needs to be downloaded. PWA functionality also enables us to install the application on our device just like a desktop or mobile application and lets view the application if we are online by loading it from cache.;PWA to typ aplikacji webowej, która wykorzystuje Service Worker do zarządzania cach'em aplikacji. To świetny sposób na poprawę wydajności, ponieważ aplikacja jest ładowana niemal natychmiast z pamięci, a w tle Service Worker sprawdza, czy nie trzeba pobrać nowszej wersji. Funkcjonalność PWA umożliwia nam również zainstalowanie aplikacji na naszym urządzeniu tak jak aplikacji desktopowej lub mobilnej oraz umożliwia przeglądanie aplikacji, jeśli jesteśmy online, ładując ją z pamięci podręcznej.;Angular;;true
What are Pure Components? (pure component, czysty component, czyste componenty);"Pure" component means that its entire state is represented by its Inputs(), which are immutable.;"Pure" komponent oznacza, że jego cały stan jest reprezentowany przez jego Inputy(), które są niezmienne (immutable).;Angular;;false
What is Set object?;Set is a special type of collection - a "set of values" in which each value can occur only once. An alternative to Set could be an array of code that checks for duplicates, but performance would be much worse. Set is much better optimized for uniqueness checking.;Set jest specjalnym typem kolekcji - "zestawem wartości", w którym każda wartość może wystąpić tylko raz. Alternatywą dla Set mogłaby być tablica z kodem, który sprawdza czy nie ma w niej duplikatów, jednak wydajność byłaby dużo gorsza. Set jest dużo lepiej zoptymalizowany do sprawdzania unikatowości.;Angular;;true
What are the main requirements for good HTML and CSS?;1. Responsive design 2. Maintainable and scalabe code 3. Web performance;1. Responsive design 2. Utrzymywalny i skalowalny kod 3. Wydajność;CSS;;false
What are cookies?;Cookies are small information files that the web server generates and sends to your browser. The browser keeps cookies, which it receives for a defined period of time. They have an expiry time, if not defined the cookie will expire with the browser session. Up to 4KB. Sent to the server with every request.;Cookies są małymi plikami z informacjami, które web serwer generuje i wysyła do przeglądarki. Przeglądarka przetrzymuje cookies, które dostaje na zdefiniowany okres czasu. Mają czas wygaśniecią, jeżeli nie został on zdefiniowany cookie wygaśnie z sesją przeglądarki. Do 4KB. Wysyłąne do servera z każdym zapytaniem.;Angular;;true
Why don't we use modifiers like async, public, private etc. in the interfaces? (interfejs);The interface is a contract that tells us how the method should behave, and modifiers like async, public, private tell us how the method is implemented, which makes it implementation information and implementation information not part of the contract.;Interfejs jest kontraktem, który mówi nam w jaki sposób metoda powinna się zachowywać, a modyfikatory typu async, public, private mówią nam jak metoda jest zaimplementowania, co powoduje, że jest to informacja na temat implementacji, a informacje na temat implementacji nie są częścią kontraktu.;OOP;;true
How is form.setValue () different from form.patchValue ()?;Both methods set the value of the form except that setValue cannot omit any field.;Obie metody ustawiają wartość formularza z tą różnicą, że setValue nie może pominąć żadnego pola.;Angular;;false
What is hoisting?;Hoisting works by taking the declaration (not initialization) of variables and functions (declared as var) "to the top" of the code (specifically to the beginning of the function or to the range of global variables, depending on where the variable or function was declared). This means that you can refer to a variable or function before it's even declared.;Hoisting polega na wynoszeniu deklaracji (nie inicjalizacji) zmiennych i funkcji (zadeklarowanych jako var) „na górę” kodu (konkretnie na początek funkcji lub do zakresu zmiennych globalnych, w zależności od tego, gdzie dana zmienna lub funkcja została zadeklarowana). Oznacza to, że można odwołać się do zmiennej lub funkcji zanim jeszcze zostanie zadeklarowana.;JavaScript;;true
What is the difference between Annotation and Decorator in Angular?;The Decorator corresponds to the function that is called on the class, Annotations are "only" metadata on the class. Angular uses Decorators.;Decorator odpowiada funkcji, która jest wołana na klasie, Annotations są "tylko" metadanymi na klasie. Angular używa Decoratorów.;Angular;;false
What is polyfills.ts for?;Polyfills in Angular are a few lines of code that make the application cross-browser compatible. Polyfills.ts is created by Angular with default settings so it doesn't implement everything yourself.;Polyfills w Angularze to pare linii kodu, które powodują, że aplikacja jest kompatybilna dla różnych przeglądarek. Polyfills.ts jest tworzony przez Angulara z domyślnymi ustawieniami, żeby nie implementować wszystkiego samemu.;Angular;;true
Why do modules have to import eg CommonModule separately?;Each new module is in a clean state. There is no knowledge of anything. We need to import everything we need for whatever component declared in it. Modules do not inherit access to components, directives, or pipes that are declared in other modules. That's why we need to import eg CommonModule to have access to ngIf, ngFor, etc. in our components. Our new module knows nothing about directives from other modules. It only looks for imported modules in declarations and exports.;Każdy nowy moduł ma czysty stan. Nie ma wiedzy odnośnie niczego. Musimy zaimportować wszystko czego potrzebujemy dla jakiegokolwiek componentu zadeklarowanego w nim. Moduły nie dziedziczą dostępu do componentów, dyrektyw, lub pipe'ów, którę są zadeklarowane w innych modułach. Dlatego musimy zaimportować np. CommonModule, żeby w naszych componentach mieć dostęp do ngIf, ngFor, itd. Nasz nowy moduł nic nie wie o dyrektywach z innych modułów. Szuka tylko w deklaracjach i exportach zaimportowanych modułów.;Angular;;true
What is VAPID key pair?;VAPID stands for Voluntary Application Server Identification for Web Push. The VAPID key pair is a cryptographic public/private key pair that is used as follows: -The public key is used as a server unique identifier when subscribing a user to notifications sent by that server. -the private key must be a secret (as opposed to the public key) and is used by the application server to sign the message before sending.;VAPID oznacza Voluntary Application Server Identification dla protokołu Web Push. VAPID key pair jest kryptograficznym publiczną/prywatną parą kluczy, która jest używana w następujący sposób: - klucz publiczny jest używany jako unikatowy identyfikator serwera podczas subskrybowania użytkownika  do notyfikacji wysyłanych przez ten serwer. - klucz prywatny musi być sekretem (w odróżnieniu od klucza publicznego) i jest używany przez serwer aplikacji do podpisu wiadomości przed wysyłką.;Angular;;false
What is the ng-container directive and in what cases can it be useful?;We use ng-container if we want to conditionally show the html fragment, but we don't want this fragment to be 'wrapped' in any element. Angular does not render the ng-content element. I used ng-content in conjunction with the css grid, for example, to create a grid for each * ngFor interaction.;ng-container używamy jeżeli chcemy warunkowo pokazać fragment html, ale nie chcemy, żeby ten fragment był 'opakowany' w żaden element. Angular nie renderuje elementu ng-content. Ja używałem ng-content np. w połączeniu z css grid, żeby stworzyć grida dla każdej interacji *ngFor.;Angular;;true
What is the difference between value and ngValue?;You can use both value and ngValue. The only difference is that value must always be a string, while in ngValue we can pass an object.;Można używać zarówno value jak i ngValue. Jedyna różnica jest taka, że value musi zawsze być stringiem, natomiast w ngValue możemy przekazać obiekt.;Angular;;false
to override;to override;to override;CSS;;false
What is the difference between DebugElement and nativeElement?;nativeElement returns a reference to the DOM of an element. DebugElement is an Angular class that contains nativeElement along with other essential methods and references for unit tests.;nativeElement zwraca referencje do DOM elementu. DebugElement jest klasą Angulara, która zawiera w sobie nativeElement wraz z innymi istotnymi metodami i referencjami przydatnymi w unit testach.;Testing;;true
Most important HTML APIs. (WebAPI, HTMLAPI);1. Geolocation API, used to identify the user’s location. 2. Web Speech API, which provides speech recognition functionality. 3. Clipboard API, which provides copy, cut, and paste functionality. 4. History API, which provides access to the browser navigation history. 5. Web Notifications API, used to send web-based notifications to users.;1. Geolokalizacji API, służące do identyfikacji lokalizacji użytkownika. 2. Web Speech API, który zapewnia funkcjonalność rozpoznawania mowy. 3. Clipboard API, który zapewnia funkcje kopiowania, wycinania i wklejania. 4. History API, które zapewnia dostęp do historii nawigacji w przeglądarce. 5. Web Notifications API, służący do wysyłania użytkownikom powiadomień internetowych.;HTML;;true
How can the performance of an HTML web page be measured? (search: performange tools, tools for performance);[understand, write better] I heard that popular solutions include the Navigation Timing API and the User Timing API that provide performance metrics suck as: 1. Page load speed: The time it takes for the full page to load. 2. Time to interact: The time it takes for the user to be able to interact with the page. 3. Bounce rate: The proportion of users that leave the page without interacting with it. 4. Error rate: The proportion of visits to the page resulting in errors.;[zrozumieć, napisać lepiej] Słyszałem, że popularne rozwiązania to między innymi Navigation Timing API i User Timing API, które dostarczają metryki wydajności, które są do bani: 1. Szybkość ładowania strony: czas potrzebny na załadowanie całej strony. 2. Czas na interakcję: czas potrzebny użytkownikowi na interakcję ze stroną. 3. Współczynnik odrzuceń: odsetek użytkowników, którzy opuszczają stronę bez interakcji z nią. 4. Wskaźnik błędów: Odsetek wizyt na stronie skutkujących błędami.;HTML;;true
What is exhaustMap and how does it work?;exhaustMap is a higher-order mapping operator. It is used to support nested Observables. If the nested Observable is being invoked and a new source Observable arrives, it is ignored. The new Observable sources are considered as all earlier Observables have finished their operation. An example may be login requests, if the first request has not yet received a response, we ignore all requests in the meantime.;exhaustMap jest operatorem typu Higher-order mapping. Służy do obsługi zagnieżdżonych Observabli. Jeżeli zagnieżdzony Observable jest w trakcie wywoływania, a przyjdzie nowy źródłowy Observable to jest on ignorowany. Nowe źródłowe Observable są brane pod uwagę jak wszystkie wcześniejsze Observable skończyły swoje działanie. Przykładem może być requesty o login, jeżeli pierwszy request nie przyniósł jeszcze odpowiedzi to ignorujemy wszystkie requesty w międzyczasie.;Angular;;false
What is Spy?;Spy is an object that controls which it's method has been run, how many times it has been run, and what parameters have been used in it.;Spy jest obiektem, który kontroluje jaka jego metoda została uruchomiona, ile razy została uruchomione i jakie parametry zostały w niej użyte.;Testing;;true
What methods do you know for combining Observables?;1. combineLatest([obs1, obs2, ...]) - will emit the combined value of the given Observables if they all emitted something and each time emits a value. 2. forkJoin([obs1, obs2, ...]) - will emit only when all observable have finalized their data transfer. 3. withLatestFrom - emitule if all observable emits, then every time the source Observable emits.;1. combineLatest([obs1, obs2, ...]) - wyemituje połączoną wartość podanych Observabli, jeżeli wszystkich one już coś wyemitowały i za każdym razem jakaś wyemituje wartość. 2. forkJoin([obs1, obs2, ...]) - wyemituje tylko kiedy wszystkie observable sfinalizują przesyłanie danych. 3. withLatestFrom - wyemitule jeżeli wszystki observable wyemitują, a później za każdym razem jak źródłowa Observable wyemituje.;Angular;;false
What are Closures?;A closure is a combination of a function combined with a reference to its surrounding state. In other words, a closure gives access to the outer scopa of the function inside that function. In JavaScript, closures are created each time a function is created.;Domknięcie jest kombinacją funkcji połączonej z referencją do jej otaczającego stanu. Innymi słowy, domkniecie daje dostęp do zewnętrznego scopa funkjcji wewnątrz tej funkcji. W JavaScripcie domknięcia są tworzone za każdym razem jak funkcja jest stworzona.;Angular;;true
What does propery runGuardsAndResolvers: 'paramsOrQueryParamsChange' do when used inside route's definition?;It makes Guards and Resolvers run again when we navigate to the same URL but with different query parameters.;Powoduje, że Guardy i Resolvery uruchamiają się ponownie podczas nawigacji do tego samego URL ale z innymi query parameterami.;Angular;;false
What does it mean that CSS is cascading?;Cascade is the process of combining different stylesheets and resolving conflicts between different CSS declarations and rules, when more than one rule is applied to one element.;Kaskada to jest process łączenia różnych stylesheet'ów i rozwiązywanie konfliktów pomiędzy różnymi CSS deklaracjami i zasadami, kiedy więcej niż jedna zasada aplikuje się na jeden element.;CSS;;false
What are Modules in Angular?;Angular modules are cohesive blocks of functionality that help organize the application.;Moduły w Angularze są to spójne bloki funkcjonalności, które pomagają w organizacji aplikacji.;Angular;;true
What happens when we set box-sizing: border-box for an HTML element?;The defined value in width and height properties will apply to content, padding, and border, not only to the content as it is in case of using box-sizing: content-box.;Określona wartość propercij width i height będzie tyczyła się contentu, paddingu, i borderu, nie tylko contentu jak w przypadku box-sizing: content-box.;CSS;;false
What is Material Design (refer to Angular Material);Material Design is not an Angular specific design instead Material Design is a design specification from Google that defines how user interface should look. In Android phone many of user interfaces that you interact with follow the design speficication. Angular Material is a UI library for Angular based on Material Design.;Material Design nie jest wyłącznie Angularowym designem, ale jest specyfikacją designową od Google, która określa jak interfejs użytkownika powinien wyglądać. W Androidzie wiele interfejsów użytkownika kierują się tym designem. Angular Material jest biblioteką UI do Angulara bazującą na Material Design.;Angular;;false
What is ARIA?;Accessible Rich Internet Applications (ARIA) is a set of roles and attributes that make the application more accessible to people with disabilities. The point is for readers to clearly read the content of the page. The first rule of ARIA is not to use ARIA when not needed, but to use native HTML elements or attributes with semantics and behavior already built into HTML.;Accessible Rich Internet Applications (ARIA) jest zestawem roli i atrybutów (roles and attributes), dzięki którym aplikacja staje się bardziej dostępna dla ludzi z niepełnosprawnościami (disabilities). Chodzi o to, żeby readery jasno czytały content strony. Pierwszą zasadią ARIA jest żeby nie używać ARIA kiedy nie ma takiej potrzeby, tylko używać natywnych elementów HTML albo atrybutów z semantyką i zachowaniem, które już jest wbudowane w HTML.;HTML;;true
What is Event Loop?;It's a mechanism that has one simple job - it looks at the Call Stack and at the Callback Queue, and if the Call Stack is empty it gets the first position (the first callback function) from the Callback Queue to the Call Stack.;To mechanizm, który ma jedną prostą pracę - patrzy na Call Stack i na Callback Queue, i jeżeli Call Stack jest pusty pobiera pierwszą pozycję (pierwszą callback function) z Callback Queue na Call Stack.;JavaScript;;true
How does the done() function work in Angular tests?;The done() function is passed as a parameter to the test, then the test waits for this function to be called and exits as it was called. If the test does not call the done() function within the specified time (5sec by default), an exception will be thrown.;Funkcja done() jest przekazywana jako parametr do testu, po czym test jest oczekuje na wywołanie tej funkcji i skończy działanie jak zostanie wywołana. Jeżeli test nie wywoła funkcji done() w określonym czasie (domyślny to 5sek) zostanie wyrzucony wyjątek.;Testing;;true
How do we use the ActivatedRoute?;ActivatedRoute has: -url segments, -route parameters, -query parameters, -resolver data. There are two ways to get data from ActivatedRoute. The first is to refer to a snapshot, which provides the initial state of the path when entering the component. The second is to subscribe to paramMap: route.paramMap.subscribe() in order to observe the current path values.;ActivatedRoute posiada: -segmenty URL, -parametry route'a, -query parametry, -resolver data. Są twa sposoby na pozyskanie danych z ActivatedRoute. Pierwszy z nich to odwołanie się do snapshota, który zapewnia początkowy stan ścieżki kiedy wchodzimy w dany komponent. Drugi to zasubskrybowanie do paramMap: route.paramMap.subscribe(), w celu obserwowania aktualnych wartości ścieżki.;Angular;;false
What is Web Accessibility?;A way to develop websites for people with disabilities to use them. The WCAG standard is Web Accessibility guidelines that consist of four principles: 1. Perceivable - users with limitations should have it easier to find themselves in the application using their senses (e.g. adding alternative text to images for the blind, appropriate color contrast, appropriate font size, semantic html mainly for screen readers because they know how navigate semantic html elements). 2. Operable - making it easier to navigate the application and use the functionalities (e.g. people with mobility limitations should be able to use the keyboard instead of the mouse). 3. Understandable - information on the website and its operation should be clear and understandable. The website should behave in an intuitive/predictable way (e.g. consistent appearance and operation of elements on all pages of the application, clear messages).4. Robust - the application should work on as many devices and browsers as possible.;Sposób rozwijania stron internetowych, żeby ludzie z niepełnosprawnością mogli ich używać. Standard WCAG to wytyczne Web Accessibility składające się z czterech zasad: 1. Postrzegalność (Perceivable) - użytkownicy z ograniczeniami powinni mieć ułatwione odnalezienie się w aplikacji za pomocą swoich zmysłów (np. dodanie tekstu alternatywnego do obrazków dla osób niewidomych, odpowiedni kontrast kolorów, odpowiedni rozmiar czcionek, semantyczny html głównie dla screen readerów ponieważ wiedzą jak poruszać się po semantycznych elementach html). 2. Funcjonalność (Operable) - ułatwianie w poruszaniu się po apliklacji i używaniu funcjonalności (np. osoby z ograniczeniami ruchowymi powinny być w stanie korzystać z klawiatury zamiast z myszki). 3. Zrozumiałość (Understandable) - informacje na stronie i jej obsługa powinny być jasna i zrozumiała. Strona powinna zachowywać się w sposób intuicyjny/przewidywalny (np. spójny wygląd i działanie elementów na wszystkich stronach aplikacji, przejrzyste komunikaty).4. Solidność (Robust) - aplikacja powinna działać na jak największej ilości urządzeń i przeglądarkach.;HTML;;true
What is an Anchor tag in HTML? (<a>);An anchor tag is used to link two sections, web pages, or website templates in HTML.;Anchor tag służy do łączenia dwóch sekcji, stron internetowych lub szablonów witryn internetowych w kodzie HTML.;HTML;;false
Describe Responsive Design (RWD);It is a design approach that aims to build web pages that detect the orientation and screen size of the users so the layout can change accordingly. This approach uses flexible layouts, flexible images, and CSS Media Queries. We apply it by using dynamic grids and layouts that in easy way adaps to screen, we use % instead of units like pixels (px) for lenght. We use Media Queries to change the page styles for different screen sizes.;To podejście, w którym budujemy aplikację wykrywającą rozmiar ekranu użytkownika, żeby layout mógł się do niego dostosować. To podejście wykorzystuje elastyczne layouty, image i CSS Media Query. Projektujemy go za pomocą dynamicznych gridów i layoutów, które w łatwy sposób dopasowują się do ekranu, używamy % zamiast jednostek takich jak piksele (px) dla długości. Używamy Media Query aby zmieniać style strony dla różnych rozmiarów ekranu.;CSS;;true
Enumerate JavaScript primitive types. (typy prymitywne);string. number. bigint. boolean. undefined. symbol. null.;string. number. bigint. boolean. undefined. symbol. null.;TypeScript;;true
What is Polymorphism? Explain and give an example. (Polimorfizm);Polymorphism is when classes have different functionality but share the same interface. An example would be a disc player that plays both BluRay and DVD discs. This concept is also common in programming.;Polimorfizm jest wtedy kiedy klasy mają różną funkcjonalność, ale dzielą ten sam interfejs. Przykładem może być odtwarzacz płyt, który odtwarza zarówno płyty BluRay, jak i DVD. Ta koncepcja jest również powszechna w programowaniu.;OOP;;true
What was the purpose of developing CSS?;CSS was developed to define the visual appearances of websites. It allows developers to separate the structure and content of a website that was not possible before.;CSS został opracowany w celu zdefiniowania wizualnego wyglądu stron internetowych. Pozwala programistom na rozdzielenie struktury i zawartości strony internetowej, co wcześniej nie było możliwe.;CSS;;true
What are mixins?;A mixin is a way to reuse couple of lines of CSS. It outputs that lines directly where a specific mixin is used.;Mixin to sposób na ponowne wykorzystanie kilku linijek CSS. Mixin wyprowadza te linie bezpośrednio tam, gdzie używany.;CSS;;true
What is the difference between null and undefined?;Undefined means a variable has been declared but has not yet been assigned a value. null is an assignment value. It can be assigned to a variable as a representation of no value.;undefined oznacza, że ​​zmienna została zadeklarowana, ale nie przypisano jej jeszcze wartości. null to wartość przypisania. Może być przypisana do zmiennej jako reprezentacja braku wartości.;TypeScript;;true
What is proper "data" added to path definition in routing? (data property, route data);We use it to define data related to a given route. We can recover them in a component under a given route by providing ActivatedRoute. The data defined in this property cannot change during the application lifecycle.;Używamy jej do zdefiniowania danych powiązanych z danym routem. Możemy je odzyskać w componencie pod danym routem injectując ActivatedRoute. Dane zdefiniowane w tej propercji nie mogą się zmienić przez cykl życia aplikacji.;Angular;;false
What is concatMap and how does it work?;concatMap is a Higher-order mapping operator. It is used to support nested Observables. Each newly broadcast Observable source waits for the previously-broadcasted Observable to return the value of its internal Observable. The effect on the output is the list in the same order as on the input.;concatMap jest operatorem typu Higher-order mapping. Służy do obsługi zagnieżdżonych Observabli. Każdy nowo wyemitowany źródłowy Observable czeka, aż poprzedno-wyemitowany Observable zwróci wartość swojego wewnętrznego Observable. Efektem na wyjściu jest lista w takiej samej kolejności jak na wejściu.;Angular;;false
What are the ways to optimize front-end? (front-end optimization, application performance, app performance);1. Modularity 2. Implementation of OnPush change detection 3. Caching 4. Pipes instead of functions on the template, because pipes are only called when the value in the view changes, while the functions on the template are called every time anywhere the change detection system is started. 5. Using trackBy during ngFor loop, which will optimize the amount of code rendered when updating records in a table. 6. ServiceWorker 7. As we have an asynchronous event that we don't want to trigger changeDetection on all views, we can call it outside of NgZone: constructor (ngZone: NgZone) {zgZone.runOutsideAngular (() => {this._increaseProgress (() => { / * reenter the Angular zone and display done * / ngZone.run (() => {console.log ('Outside Done!')})})})};1. Modułowość 2.Odpowiednia implementacja detekcji zmian OnPush 3. Cachowanie 4. Pipy zamiast funkcji na templacie, ponieważ pipy wywołują się tylko kiedy wartość na widoku ulegnie zmianie, natomiast funkcje na templacie wywołują się każdym razem kiedy gdziekolwiek system detekcji zmian zostanie uruchomiony. 5. Używanie trackBy podczas pętli ngFor, który zoptymalizuję ilość renderowanego kodu przy aktualizacji rekordów w tabeli. 6. ServiceWorker 7. Jak mamy asynchroniczne wydarzenie, które nie chcemy żeby wywoływało changeDetection na wszystkich widokach możemy wywołać je poza NgZone: constructor(ngZone: NgZone){zgZone.runOutsideAngular(() => {this._increaseProgress(() => {/*reenter the Angular zone and display done*/ngZone.run(() => {console.log('Outside Done!')})})})};Angular;;true
What is Cross Site Scripting (XSS)?;If the user enters some input, which might be an unwanted script, and we display it later on the website, the unwanted script can run and do bad things. Angular treats the values ​​that are entered in the DOM as untrusted and will clean up unwanted elements from inputs containing e.g. a script block, so most of the time you do not need to do anything - Angular will take care of it for you.;Jeżeli użytkownik wpisze jakiś input, który może być niechcianym skryptem i my go później wyświetlimy na stornie to niechciany skrypt może isę uruchomić i zrobić złe rzeczy. Angular traktuje wartości, które są wpisane  w DOM jako niezaufane i oczyści niechciane elementy z inputów zawierających np. blok skryptowy, więc przez większość czasu nie trzeba nic robić - Angular zajmie się tym za nas.;Angular;;true
What are selectors?;Selectors are functions used to retrieve specific parts (Slices) of a state.;Selektory są funkcjami używanymi do pobierania określonych części (Slice'ów) stanu.;Angular;;false
When does DOM reflow occur?;DOM reflow occurs when you insert, move, update, remove, and animate the elements in the DOM as well as when you modify content on the page and change style.;DOM reflow występuje, gdy wstawiasz, przenosisz, aktualizujesz, usuwasz i animujesz elementy w DOM, a także gdy modyfikujesz zawartość strony i zmieniasz styl.;CSS;;true
